ID,HS_NAME,HS_CEEB_CODE,HS_LATITUDE,HS_LONGITUDE,HS_ADDRESS,HS_STATE_TYPE_ID,HS_CITY_TYPE_ID,DBT_SYNCED_AT
1,Joann A. Alexie Memorial School,020329,60.79222,-161.75583,115 Village Rd,52,29424,11:19.7
2,Kuskokwim Learning Academy,020355,60.79222,-161.75583,Po Box 1949,52,29424,11:19.7
3,Yakov E. Netsvetov School,020179,52.19611,-174.20056,Po Box 47050,52,29495,11:19.7
4,Adak School,020397,51.829438,-176.629994,Po Box 2083,52,29494,11:19.7
5,Unalakleet School,020157,63.87306,-160.78806,Po Box 130,52,29491,11:19.7
6,Bristol Bay Middle High School,020416,58.78632,-156.89978,Po Box 169,52,29455,11:19.7
7,Kenny Lake School,020330,61.470966,-144.991027,Mile 13 Edgerton Cut-Off Hc 60 Box 289,52,29435,11:19.7
8,Glennallen High School,020039,62.12802,-145.7711,Po Box 108,52,29509,11:19.7
9,Craig High School,020390,55.513301,-133.117022,Po Box 800,52,29633,11:19.7
10,Interior Distance Education Of Alaska,020353,64.812404,-147.768424,2157 Van Horn Rd,52,29541,11:19.7
11,Whaley School,020391,61.20057,-149.813211,2220 Nichols St,52,29413,11:19.7
12,The New Path High School,020394,61.218613,-149.855484,1400 E 4Th Ave,52,29413,11:19.7
13,Eagle River High School,020368,61.298158,-149.573136,8701 Yosemite Dr,52,29500,11:19.7
14,Crossroads Alternative School,020385,61.224044,-149.817924,3350 Commercial Dr Ste 101,52,29413,11:19.7
15,Highland Academy Charter School,020407,61.195103,-149.778082,5530 E Northern Lights Blvd,52,29413,11:19.7
16,AVAIL School,020374,61.218035,-149.88719,425 C St,52,29413,11:19.7
17,Juneau Douglas High School,020376,58.366515,-134.608493,10014 Crazy Horse Dr,52,29622,11:19.7
18,Juneau Douglas High School,020379,58.366515,-134.608493,10014 Crazy Horse Dr,52,29622,11:19.7
19,Juneau Douglas High School,020427,58.366515,-134.608493,10014 Crazy Horse Dr,52,29622,11:19.7
20,Johnson Youth Center,020425,58.329211,-134.469079,3252 Hospital Dr,52,29622,11:19.7
21,Sitka REACH,020378,56.807607,-132.962107,305 Baranof St,52,29618,11:19.7
22,Kenai Alternative High School,020334,60.553846,-151.25443,705 Frontage Rd Ste C,52,29516,11:19.7
23,Cooper Landing School,020398,60.494864,-149.80866,19030 Bean Creek Rd,52,29434,11:19.7
24,Hope School,020395,60.91775,-149.64134,Po Box 47,52,29510,11:19.7
25,Connections Homeschool Program,020360,60.49119,-151.068054,143 E Park Ave,52,29477,11:19.7
26,Marathon School,020410,60.566864,-151.232323,405 Marathon Rd,52,29516,11:19.7
27,Razdolna School,020372,59.6425,-151.54833,Po Box 15098,52,29441,11:19.7
28,Kachemak Selo School,020388,59.6425,-151.54833,Po Box 15007,52,29441,11:19.7
29,Kodiak High School,020413,57.793898,-152.395497,722 Mill Bay Rd,52,29520,11:19.7
30,Nondalton School,020414,59.97361,-154.84583,1000 School Rd,52,29462,11:19.7
31,Meshik School,020114,56.94917,-158.62694,1500 School Rd,52,29497,11:19.7
32,Mat Su Central School,020176,61.579263,-149.434606,600 E Railroad Ave Ste 6,52,29451,11:19.7
33,Mat Su Youth Facility,020422,61.586025,-149.105017,581 E Outer Springer Loop,52,29466,11:19.7
34,Twindly Bridge Charter School,020389,61.614352,-149.449661,141 E Seldon Rd,52,29451,11:19.7
35,Mat Su Career & Technical Education High School,021080,61.608794,-149.363222,2472 N Seward Meridian Pkwy,52,29451,11:19.7
36,Mat Su Middle College School,020840,61.579879,-149.240748,8295 College Dr,52,29466,11:19.7
37,Cyberlynx Correspondence Program,020392,64.56389,-149.09306,Po Box 599,52,29598,11:19.7
38,Nome Youth Facility,020412,64.50111,-165.40639,Po Box 131,52,29600,11:19.7
39,Golden Heart Academy,020371,64.832922,-147.764247,1502 Wilbur St,52,29541,11:19.7
40,Effie Kokrine Charter School,020369,64.847698,-147.839816,601 Loftus Rd,52,29541,11:19.7
41,Kobuk School,020396,66.90722,-156.88111,Po Box 40,52,29563,11:19.7
42,NWABSD Homeschool,020411,66.865256,-161.780844,Po Box 51,52,29564,11:19.7
43,Skagway School,020135,59.456753,-135.314852,Po Box 497,52,29620,11:19.7
44,Barry Craig Stewart Kasaan School,020401,55.542007,-131.432682,Po Box Wwp,52,29623,11:19.7
45,Barry Craig Stewart Kasaan School,020403,55.542007,-131.432682,Po Box Nki,52,29623,11:19.7
46,Barry Craig Stewart Kasaan School,020406,55.542007,-131.432682,Po Box Ppv,52,29623,11:19.7
47,Barry Craig Stewart Kasaan School,020430,55.542007,-131.432682,Po Box Kxa,52,29623,11:19.7
48,Port Alexander School,020405,56.24556,-134.65083,Box 8170,52,29619,11:19.7
49,Hyder School,020429,55.9806,-130.04268,Po Box 130,52,29635,11:19.7
50,Hollis School,020404,55.513301,-133.117022,Po Box 803,52,29633,11:19.7
51,Cruikshank School,020417,66.38237,-147.31891,Po Box 24050,52,29548,11:19.7
52,FOCUS Homeschool,020346,61.136578,-149.847826,9312 Vanguard Dr,52,29413,11:19.7
53,Chenega School,020426,60.536166,-145.75335,Po Box 8030,52,29436,11:19.7
54,Johnny Oldman School,020415,66.04889,-154.25556,Po Box 30,52,29557,11:19.7
55,Gladys Dart School,020423,65.0187,-150.6478,Po Box 29,52,29594,11:19.7
56,Raven Homeschool,020269,64.834765,-147.827747,4762 Old Airport Way,52,29541,11:19.7
57,Foothills Academy Connected,030775,33.777018,-111.927494,7191 E Ashler Hills Dr,39,25147,11:19.7
58,Benjamin Franklin High School,030756,33.280076,-111.676974,18864 E Germann Rd,39,25135,11:19.7
59,Alternative Computerized Education Charter High School,030467,32.245782,-110.972248,1929 North Stone Avenue,39,25256,11:19.7
60,Aztec High School,030749,32.676889,-114.64784,2330 W 28Th St,39,25175,11:19.7
61,International Commerce High School Tempe,030706,33.407361,-111.922517,1105 E Broadway Rd,39,25149,11:19.7
62,American Heritage Academy Cottonwood,030207,34.732349,-112.004403,2030 E Cherry St,39,25367,11:19.7
63,Sequoia Choice Precision School,030767,33.387815,-111.81447,1460 S Horne,39,25136,11:19.7
64,Ponderosa High School,030596,35.209218,-111.604169,2384 N Steves Blvd,39,25269,11:19.7
65,Benson High School,030757,31.965767,-110.298717,360 S Patagonia St,39,25237,11:19.7
66,Career Success High School Main Campus,030647,33.491707,-112.118028,3816 N 27Th Ave,39,25119,11:19.7
67,Sonoran Science Academy Tucson,030563,32.307978,-111.018294,2325 W Sunset Rd,39,25256,11:19.7
68,Paradise Honors High School,030694,33.599753,-112.434424,12775 N 175Th Ave,39,25177,11:19.7
69,Skyline Prep High School,030689,33.307881,-111.976204,15220 S 50Th St Ste 103,39,25119,11:19.7
70,Southern Arizona Community High School,030710,32.251715,-110.935079,2470 N Tucson Blvd,39,25256,11:19.7
71,Eastpointe High School,030779,32.221646,-110.810901,8495 E Broadway Blvd,39,25256,11:19.7
72,Valley Preparatory Academy,030716,33.393987,-111.89348,2150 E Southern Ave,39,25149,11:19.7
73,Student Choice High School,030016,33.450637,-111.926309,1833 N Scottsdale Rd,39,25149,11:19.7
74,RCB Medical Arts Academy,030758,33.524693,-112.151343,6049 N 43Rd Ave,39,25119,11:19.7
75,Lee Williams High School,030672,35.19301,-114.059931,400 Grandview Ave,39,25336,11:19.7
76,Yavapai County High School,030574,34.634818,-112.333103,7497 E Addis Ave,39,25360,11:19.7
77,Primavera Online High School,030033,33.341588,-111.840967,2471 N Arizona Ave Ste 1,39,25144,11:19.7
78,CAVIT Florence Unified,030690,33.03145,-111.38734,Po Box 2850,39,25129,11:19.7
79,CAVIT Casa Grande Union High School,030693,32.886228,-111.747841,1362 N Casa Grande Ave,39,25124,11:19.7
80,CAVIT San Tan Foothills High School,030623,33.139382,-111.579699,1255 W Silverdale Rd,39,25135,11:19.7
81,Nosotros Academy,030702,32.227666,-110.988503,440 N Grande Ave,39,25256,11:19.7
82,Desert Marigold School,030727,33.391172,-112.022516,6210 S 28Th St,39,25119,11:19.7
83,Tucson International Academy,030717,32.222621,-111.024543,2700 W Broadway Blvd,39,25256,11:19.7
84,Toltecali High School,030586,32.162933,-110.972631,251 W Irvington Rd 200 N Stone Ave,39,25256,11:19.7
85,Maya High School,030589,33.53981,-112.137945,3660 W Glendale Avenue,39,25119,11:19.7
86,City High School,030603,32.223178,-110.970576,48 E Pennington St,39,25256,11:19.7
87,AAEC at SMCC Campus,004734,33.382748,-112.03445,7050 South 24Th Street,39,25119,11:19.7
88,East Valley High School,030592,33.416776,-111.670966,7420 E Main St,39,25136,11:19.7
89,Arizona Agribusiness & Equine Center Inc Red Mountain,030019,33.455879,-111.68378,2165 N Power Rd,39,25136,11:19.7
90,Arizona Connections Academy,030669,33.276693,-111.784409,335 E Germann Rd Ste 140,39,25145,11:19.7
91,South Ridge High School,033400,33.438513,-112.204475,1122 S 67Th Ave,39,25119,11:19.7
92,Verrado High School,030029,33.49555,-112.492534,20050 W Indian School Rd,39,25153,11:19.7
93,Phoenix Day School for the Deaf,030306,33.549786,-112.100288,7654 N 19Th Ave,39,25119,11:19.7
94,BASIS Scottsdale,030660,33.581456,-111.80586,10400 N 128Th St,39,25147,11:19.7
95,Desert Heights Preparatory Academy,030631,33.655554,-112.136174,3540 W Union Hills Dr,39,25150,11:19.7
96,Red Mesa High School,030595,36.92205,-109.07526,Hc 61 Box 40,39,25382,11:19.7
97,Phoenix College Preparatory Academy,004606,33.483157,-112.090216,1202 West Thomas Road,39,25119,11:19.7
98,West Mec Tonopah Valley High School,033839,33.491827,-112.873108,38201 W Indian School Rd,39,25165,11:19.7
99,West Mec Raymond S. Kellis High School,030034,33.545327,-112.253838,8990 W Orangewood Ave,39,25150,11:19.7
100,West Mec Boulder Creek High School,030581,33.850274,-112.14065,40404 N Gavilan Peak Pkwy,39,25119,11:19.7
101,West Mec Liberty High School,030208,33.802087,-112.247703,9621 W Speckled Gecko Dr,39,25176,11:19.7
102,West Mec Valley Vista High School,033769,33.62594,-112.3881,15550 N Parkview Pkwy,39,25177,11:19.7
103,West Mec Youngker High School,030026,33.419288,-112.577152,3000 S Apache Rd,39,25153,11:19.7
104,West Mec Shadow Ridge High School,030683,33.551389,-112.461731,6024 N Perryville Rd,39,25166,11:19.7
105,West MEC Peoria High School,030703,33.587292,-112.238924,11200 N 83Rd Ave,39,25176,11:19.7
106,Alta Vista High School,030621,32.160899,-110.94451,5040 S Campbell Ave,39,25256,11:19.7
107,Pinnacle High School Tempe,030113,33.39326,-111.971821,2224 W Southern Ave Ste 1,39,25149,11:19.7
108,Pinnacle High School Tempe,030666,33.39326,-111.971821,2224 W Southern Ave Ste 1,39,25149,11:19.7
109,Berean Academy,030639,31.562547,-110.24744,1169 Colombo Ave,39,25247,11:19.7
110,Hope High School Online,030296,33.636087,-112.179961,5651 W Talavi Blvd Ste 170,39,25150,11:19.7
111,Eduprize School Gilbert,030760,33.376138,-111.801607,580 W Melody Ave,39,25145,11:19.7
112,TAPP High School,030594,32.223022,-110.939094,102 N Plumer Ave,39,25256,11:19.7
113,Andrada Polytechnic High School,030741,32.018066,-110.776943,12960 S Houghton Rd,39,25256,11:19.7
114,Imagine Prep Coolidge,030632,32.989244,-111.537437,1290B W Vah Ki Inn Rd,39,25127,11:19.7
115,Sky Islands Public High School,030692,32.215676,-110.865072,6000 E 14Th St,39,25256,11:19.7
116,Sonoran Science Academy Phoenix,030642,33.465115,-111.977199,4837 E Mcdowell Rd,39,25119,11:19.7
117,Paragon Science Academy,030070,33.317235,-111.892489,2975 W Linda Ln,39,25144,11:19.7
118,Imagine Prep Superstition,030720,33.399637,-111.566742,1843 W 16Th Ave,39,25121,11:19.7
119,AZ Compass Prep School,030027,33.336791,-111.844242,2020 N Arizona Ave Ste 206,39,25144,11:19.7
120,AZ Compass Prep School,030684,33.336791,-111.844242,2020 N Arizona Ave Ste 109,39,25144,11:19.7
121,Sonoran Science Academy Davis Monthan,034570,32.181529,-110.869102,5741 E Ironwood St,39,25256,11:19.7
122,Envision High School,030584,32.224525,-110.971307,200 N Stone Ave 3Rd Fl,39,25256,11:19.7
123,BASIS Oro Valley,030615,32.409085,-110.944632,11155 N Oracle Rd,39,25256,11:19.7
124,Northpoint Expeditionary Learning Academy,030659,34.550897,-112.472102,551 1St St,39,25324,11:19.7
125,Arizona Collegiate High School,030653,33.484512,-112.129022,3161 N 33Rd Ave,39,25119,11:19.7
126,Valiant Academy,030685,33.381645,-111.728478,4858 E Baseline Rd Ste 103,39,25136,11:19.7
127,BASIS Chandler,030072,33.235528,-111.839294,4825 S Arizona Ave,39,25144,11:19.7
128,BASIS Flagstaff,030728,35.208116,-111.634014,1700 N Gemini Dr,39,25269,11:19.7
129,ASU Preparatory Academy Phoenix High School,030671,33.453462,-112.063606,735 E Fillmore St,39,25119,11:19.7
130,ASU Preparatory Academy Polytechnic High School,030670,33.304859,-111.673879,7350 E Innovation Way South,39,25136,11:19.7
131,Arizona College Prep Academy,030468,32.22118,-110.919372,3434 E Broadway Blvd,39,25256,11:19.7
132,Changemaker High School,030766,32.204427,-110.89716,1300 S Belvedere Ave,39,25256,11:19.7
133,BASIS Tucson North,030743,32.273287,-110.871056,5740 E River Rd,39,25256,11:19.7
134,The Rising School,030565,32.22032,-110.833553,7444 E Broadway Blvd,39,25256,11:19.7
135,BASIS Ahwatukee,030800,33.354166,-111.975413,10210 S 50Th Pl,39,25119,11:19.7
136,BASIS Mesa,030750,33.324775,-111.615191,5010 S Eastmark Pkwy,39,25136,11:19.7
137,BASIS Prescott,030762,34.590221,-112.432062,1901 Prescott Lakes Pkwy,39,25324,11:19.7
138,Madison Highland Prep,030770,33.501003,-112.049739,1431 E Campbell Ave Ste 100,39,25119,11:19.7
139,Copper Point High School,030840,32.280136,-110.983507,732 W Roger Rd,39,25256,11:19.7
140,Western School of Science and Technology,030780,33.493575,-112.200061,6515 W Indian School Rd,39,25119,11:19.7
141,Phoenix Collegiate Academy High School,030175,33.422182,-111.922065,1130 E University Dr Ste 230,39,25149,11:19.7
142,ASU Preparatory Academy Casa Grande High School,030083,32.880567,-111.844703,2612 W Gila Bend Hwy,39,25124,11:19.7
143,South Verde Technology Magnet,030701,34.585735,-111.861985,410 Camp Lincoln Rd,39,25363,11:19.7
144,Vista Grande High School,030081,32.892995,-111.712496,1556 N Arizola Rd,39,25124,11:19.7
145,Perry High School,030668,33.260747,-111.749547,1919 E Queen Creek Rd,39,25145,11:19.7
146,Arizona College Prep Erie Campus,030711,33.310408,-111.861357,1150 W Erie St,39,25144,11:19.7
147,Dr Camille Casteel High School,030820,33.221772,-111.680983,24901 S Power Rd,39,25135,11:19.7
148,Shadow Ridge High School,030662,33.58309,-112.458913,10909 N Perryville Rd,39,25177,11:19.7
149,Dysart iSchool,030723,33.636438,-112.381258,15802 N Parkview Pl,39,25177,11:19.7
150,Flowing Wells High School,030761,32.273985,-110.995285,3725 N Flowing Wells Rd,39,25256,11:19.7
151,Campo Verde High School,030696,33.279944,-111.759365,3870 S Quartz St,39,25145,11:19.7
152,Marana High School,030735,32.451316,-111.205364,11279 W Grier Rd Ste 108,39,25254,11:19.7
153,Maricopa High School,030734,33.055411,-112.053419,45012 W Honeycutt Ave,39,25132,11:19.7
154,Roadrunner School,030495,33.590595,-112.005181,3540 E Cholla St,39,25119,11:19.7
155,PVOnline,030654,33.622669,-112.013476,15002 N 32Nd St,39,25119,11:19.7
156,Payson High School,030655,34.257457,-111.28775,Po Box 919,39,25212,11:19.7
157,Phoenix Union Bioscience High School,030645,33.456043,-112.066853,512 E Pierce St,39,25119,11:19.7
158,Betty Fairfax High School,030133,33.373078,-112.182136,8225 S 59Th Ave,39,25188,11:19.7
159,Franklin Police And Fire High School,030641,33.464909,-112.095056,1645 W Mcdowell Rd,39,25119,11:19.7
160,Phoenix Coding Academy,030091,33.502073,-112.069931,4445 N Central Ave,39,25119,11:19.7
161,Coronado High School,030657,33.47493,-111.919771,7501 E Virginia Ave,39,25147,11:19.7
162,Deer Valley Online Learning Program,030588,33.670387,-112.09159,20402 N 15Th Avenue,39,25119,11:19.7
163,Tanque Verde High School,030600,32.28566,-110.756281,4201 N Melpomene Way,39,25256,11:19.7
164,Compadre High School,030667,33.365341,-111.950481,500 W Guadalupe Rd,39,25149,11:19.7
165,University High School,030746,33.448388,-112.264487,9419 W Van Buren St,39,25164,11:19.7
166,Copper Canyon High School,030626,33.512001,-112.256998,9126 W Camelback Rd,39,25150,11:19.7
167,Catalina High School,030695,32.244141,-110.915897,3645 E Pima St,39,25256,11:19.7
168,Mary Meredith K 12 School,030841,32.231279,-110.882184,755 N Magnolia Ave,39,25256,11:19.7
169,Empire High School,030601,32.088209,-110.764031,10701 E Mary Ann Cleveland Way,39,25256,11:19.7
170,Gila Ridge High School,034549,32.686599,-114.510722,7150 E 24Th St,39,25175,11:19.7
171,EVIT Williams Field High School,030619,33.313221,-111.723357,2076 S Higley Rd,39,25145,11:19.7
172,EVIT Combs High School,030630,33.277729,-111.539336,2505 E Germann Rd,39,25133,11:19.7
173,Maumelle Charter High School,041528,34.865483,-92.403844,900 Edgewood Dr,23,16005,11:19.7
174,KIPP Blytheville Collegiate High School,040244,35.90806,-89.920042,1200 Byrum Rd,23,16052,11:19.7
175,Cedar Ridge High School,041814,35.721305,-91.446592,1500 North Hill Street,23,16218,11:19.7
176,Lisa Academy High,041486,34.75135,-92.38819,23 Corporate Hill Dr,23,16027,11:19.7
177,East Arkansas Career Center,003216,35.041335,-90.76772,1700 Newcastle Rd,23,16056,11:19.7
178,Two Rivers High School,041901,35.009778,-93.272406,17727 E State Highway 28,23,16332,11:19.7
179,Arkansas Virtual Academy High School,041868,34.796705,-92.22117,4702 W Commercial Dr Ste B3,23,15994,11:19.7
180,College Prep Academy,041232,34.868712,-92.108387,251 N 1St St,23,15955,11:19.7
181,Cossatot River High School,040520,34.383276,-94.386904,6330 Highway 71 S,23,15886,11:19.7
182,Premier High School of Little Rock,041436,34.734743,-92.289132,1621 Dr Martin Luther King Dr,23,16027,11:19.7
183,Northwest Arkansas Classical Academy,040177,36.362004,-94.228293,1302 Melissa Dr Ste 100,23,16259,11:19.7
184,Quest Academy of West Little Rock,040009,34.772565,-92.446566,1815 Rahling Rd,23,16027,11:19.7
185,Future School Of Fort Smith,040008,35.391377,-94.419532,622 N 7Th St,23,16334,11:19.7
186,Southeast Arkansas Preparatory High School,040091,34.151655,-92.01763,1501 W 73Rd Ave,23,15778,11:19.7
187,Bentonville West High School,040004,36.377083,-94.29657,1351 Gamble Road,23,16263,11:19.7
188,Fayetteville Virtual Academy District Conversion Charter School,040015,36.058107,-94.132395,300 S Ray Ave,23,16257,11:19.7
189,Hot Springs World Class High School,040026,34.475632,-93.070029,701 Emory St,23,15866,11:19.7
190,Rogers Heritage High School,042168,36.323369,-94.123316,1114 S 5Th St,23,16288,11:19.7
191,Rogers New Technology High School,042171,36.301801,-94.119234,2922 S 1St St,23,16288,11:19.7
192,Har-Ber High School,042147,36.184324,-94.212421,300 Jones Rd,23,16291,11:19.7
193,Don Tyson School Of Innovations,040003,36.160485,-94.083649,2667 Hylton Rd,23,16291,11:19.7
194,Washington Academy Charter School,042407,33.428194,-94.021961,1900 Marietta St,23,15855,11:19.7
195,River Valley Virtual Academy,040016,35.459679,-94.350407,821 E Pointer Trl,23,16346,11:19.7
196,California School For The Deaf Riverside,052662,33.942733,-117.378605,3044 Horace St,40,25685,11:19.7
197,Victory High School,054190,38.815754,-121.254718,3250 Victory Dr,40,26393,11:19.7
198,Victory High School,054200,38.815754,-121.254718,3250 Victory Dr,40,26393,11:19.7
199,Whitney High School,053937,38.836857,-121.289635,701 Wildcat Blvd,40,26393,11:19.7
200,Shadow Ridge High School,054657,34.424627,-117.318991,15776 Main St Ste 5,40,25640,11:19.7
201,Canyon Ridge High School,051084,34.413979,-117.382682,12850 Muscatel St,40,25640,11:19.7
202,Canyon Ridge High School,054408,34.413979,-117.382682,12850 Muscatel St,40,25640,11:19.7
203,Oak Hills High School,054316,34.388503,-117.384621,7625 Cataba Rd,40,25640,11:19.7
204,Mountain View High School,054940,34.408465,-116.906786,8560 Aliento Rd,40,25678,11:19.7
205,Valley High Continuation School,050264,37.709521,-121.921806,6901 York Dr,40,26041,11:19.7
206,Lakeside High School,053995,33.668858,-117.38194,32593 Riverside Dr,40,25686,11:19.7
207,Great Oak High School,053880,33.452161,-117.091685,32555 Deer Hollow Way,40,25701,11:19.7
208,Murrieta Canyon Academy,054064,33.560362,-117.232193,24150 Hayes Ave,40,25699,11:19.7
209,Murrieta Canyon Academy,054505,33.560362,-117.232193,24150 Hayes Ave,40,25699,11:19.7
210,Murrieta Mesa High School,054357,33.564256,-117.199436,24801 Monroe Ave,40,25699,11:19.7
211,Westside High School,053846,36.984727,-120.62869,2041 Almond St,40,25890,11:19.7
212,Deep Creek Academy,051063,36.29765,-119.207389,281 South Farmersville Blvd,40,25779,11:19.7
213,Inderkum High School,053028,38.658131,-121.515417,2500 New Market Dr,40,25997,11:19.7
214,Natomas Pacific Pathways Preparatory School,054095,38.654614,-121.546803,3700 Del Paso Rd,40,25997,11:19.7
215,Leroy Greene Academy,054812,38.610463,-121.527247,2950 W River Dr,40,25997,11:19.7
216,Delhi High School,050062,37.429964,-120.778842,9716 Hinton Ave,40,26169,11:19.7
217,George And Evelyn Stein Continuation High School,054594,37.738356,-121.43507,650 W 10Th St,40,26199,11:19.7
218,John C. Kimball High School,054375,37.733743,-121.473728,3200 Jaguar Run,40,26199,11:19.7
219,Esperanza High School Continuation,054059,39.365198,-121.69339,581 B Jackson St,40,26504,11:19.7
220,Zoe Barnum High School,051742,40.78033,-124.173118,216 W Harris St,40,26304,11:19.7
221,Zoe Barnum High School,054492,40.78033,-124.173118,216 W Harris St,40,26304,11:19.7
222,Waterford High School,051745,37.636296,-120.775033,121 S Reinway Ave,40,26223,11:19.7
223,Citrus High School,054414,36.076652,-119.030469,600 W Grand Ave,40,25796,11:19.7
224,Porterville Military Academy,052520,36.091252,-119.038292,900 Pioneer Ave,40,25796,11:19.7
225,Porterville Military Academy,054456,36.091252,-119.038292,900 Pioneer Ave,40,25796,11:19.7
226,Porterville Military Academy,054552,36.091252,-119.038292,900 Pioneer Ave,40,25796,11:19.7
227,Dinuba High School,054312,36.545905,-119.381069,1327 E El Monte Way,40,25889,11:19.7
228,Freedom House,050621,36.98639,-119.880236,16362 Paula Rd,40,25904,11:19.7
229,Oak Glen High School,054017,33.282103,-117.026473,14172 W Oak Glen Rd,40,25570,11:19.7
230,Valley Center Preparatory School,054019,33.236221,-117.021746,28751 Cole Grade Rd,40,25570,11:19.7
231,Kern High Regional Occupational Center,050200,35.34868,-118.964144,501 S Mount Vernon Ave,40,25813,11:19.7
232,Kings County ROP,050716,36.328412,-119.663482,1144 W Lacey Blvd,40,25784,11:19.7
233,Forty Niner ROP,054872,38.906687,-121.0822,360 Nevada St,40,26327,11:19.7
234,Forty Niner ROP,054873,38.906687,-121.0822,360 Nevada St,40,26327,11:19.7
235,Forty Niner ROP,054874,38.906687,-121.0822,360 Nevada St,40,26327,11:19.7
236,Forty Niner ROP,054875,38.906687,-121.0822,360 Nevada St,40,26327,11:19.7
237,Forty Niner ROP,054876,38.906687,-121.0822,360 Nevada St,40,26327,11:19.7
238,Long Beach Unified School District ROP,051503,33.805475,-118.149538,3701 E Willow St,40,25432,11:19.7
239,Long Beach Unified School District ROP,054568,33.805475,-118.149538,3701 E Willow St,40,25432,11:19.7
240,Los Angeles County Regional Opportunity Center,050772,33.915948,-118.128749,9300 Imperial Highway,40,25392,11:19.7
241,Chawanakee Academy Charter School,053905,37.163948,-119.665194,Po Box 210,40,25928,11:19.7
242,Minarets High School,054413,37.163948,-119.665194,Po Box 186,40,25928,11:19.7
243,Minarets Charter High School,054625,37.163948,-119.665194,Po Box 208,40,25928,11:19.7
244,Sonoma County ROP,053950,38.512225,-122.798118,5340 Skylane Blvd,40,26276,11:19.7
245,Silicon Valley Career Technical Education,053102,37.277639,-121.866718,760 Hillsdale Ave,40,26130,11:19.7
246,Santa Clara County ROP South,051228,37.023347,-121.493849,5055 Santa Teresa Blvd,40,26103,11:19.7
247,San Joaquin County ROCP,054829,37.904777,-121.226782,Po Box 213030,40,26132,11:19.7
248,Santa Cruz County Regional Occupational Program,050446,36.9881,-122.038958,400 Encinal St,40,26127,11:19.7
249,Yosemite ROP,054806,37.639457,-120.996186,1100 H St,40,26184,11:19.7
250,San Gabriel High School,053056,34.092003,-118.109792,801 Ramona Street Po Box 1150,40,25550,11:19.7
251,Yosemite High School,054222,37.37586,-119.65238,50200 Rd 427,40,25927,11:19.7
252,Pacific Career And Technology High School,054792,38.684317,-121.37289,6560 Melrose Dr,40,26380,11:19.7
253,North County Regional Occupational Program,054447,37.352671,-122.035132,589 W Fremont Ave,40,25974,11:19.7
254,La Cuesta Continuation High School,054462,34.421009,-119.695773,710 Santa Barbara St,40,25756,11:19.7
255,Bonsall High School,054793,33.297403,-117.175014,7350 W Lilac Rd,40,25540,11:19.7
256,Vantage Point Charter School,054330,39.195222,-121.181535,10862 Spenceville Rd,40,26502,11:19.7
257,Magnolia Science Academy Santa Ana,054474,33.745078,-117.908598,2840 W 1St St,40,25730,11:19.7
258,Vista Springs Charter School,054113,33.511797,-117.157353,27740 Jefferson Ave Dr,40,25701,11:19.7
259,Oakland Charter High School,052178,37.786321,-122.21947,2433 Coolidge Ave,40,26052,11:19.7
260,Oakland Charter High School,054303,37.786321,-122.21947,2433 Coolidge Ave,40,26052,11:19.7
261,Pacific Community Charter School,053924,38.919145,-123.540572,Po Box 984,40,26294,11:19.7
262,Americas Finest Charter School,054658,32.712823,-117.098036,730 45Th St,40,25573,11:19.7
263,Ocean Grove Charter School,054344,38.699301,-120.822693,4535 Missouri Flat Rd,40,26387,11:19.7
264,Roberto Cruz Leadership Academy,054885,37.359654,-121.816251,14271 Story Rd,40,26130,11:19.7
265,Scale Leadership Academy,052775,33.984276,-117.689642,14816 Central Ave,40,25512,11:19.7
266,Crescent Valley Public Charter II,051288,36.330434,-119.291689,116 E Main St Ste 200,40,25810,11:19.7
267,Crescent Valley Public Charter II,054721,36.330434,-119.291689,116 E Main St,40,25810,11:19.7
268,Los Angeles Leadership Academy,051660,34.08331,-118.21072,234 E Avenue 33,40,25386,11:19.7
269,Making Waves Academy,054553,37.988551,-122.332686,4123 Lakeside Dr,40,26056,11:19.7
270,Thrive Public School,050685,32.754151,-117.079994,4260 54Th St,40,25573,11:19.7
271,Thrive Public School,052223,32.754151,-117.079994,4260 54Th St,40,25573,11:19.7
272,Valley Life Charter School,054883,36.31261,-119.332543,3737 W Walnut Ave,40,25810,11:19.7
273,Sweetwater Secondary School,050412,32.648829,-117.053418,3252 Bonita Rd,40,25526,11:19.7
274,High Tech High Media Arts,053996,32.734823,-117.21757,2861 Womble Rd,40,25573,11:19.7
275,Compass Charter Schools Of San Diego,053634,34.155249,-118.830516,850 Hampshire Rd Ste P,40,25479,11:19.7
276,Compass Charter Schools Of San Diego,054680,34.155249,-118.830516,850 Hampshire Rd Ste P,40,25479,11:19.7
277,Compass Charter Schools Of San Diego,054738,34.155249,-118.830516,850 Hampshire Rd Suite P,40,25479,11:19.7
278,Compass Charter Schools Of San Diego,054773,34.155249,-118.830516,850 Hampshire Rd Ste P,40,25479,11:19.7
279,Compass Charter Schools Of San Diego,054906,34.155249,-118.830516,850 Hampshire Rd Ste P,40,25479,11:19.7
280,Compass Charter Schools Of San Diego,054907,34.155249,-118.830516,850 Hampshire Rd Ste P,40,25479,11:19.7
281,EPIC Charter Schools,051107,33.835431,-117.913344,100 S Anaheim Blvd Ste 150,40,25732,11:19.7
